tarih,saat,lig,mbs,ev,deplasman,iy sonuc,ms sonuc,ms1,msx,ms2,iy1,iyx,iy2,kgvar,kgyok,ciftsans1/x,cs1/2,csx/2,iy1.5a,iy1.5u,1.5a,1.5u,2.5a,2.5u,3.5a,3.5u,toplamgol0-1,tg2-3,tg4-5,tg6+
2024-10-20 00:00:00,06:10:00,MEK,2,Monterrey,Tigres Uanl,3 - 2,4 - 2,2.34,2.8,2.26,3.0,1.83,2.92,1.58,1.69,1.16,1.08,1.14,1.18,2.66,2.73,1.16,1.5,1.79,1.11,3.14,2.88,1.77,4.05,18.95
2024-10-20 00:00:00,21:45:00,FR1,1,Montpellier,Marsilya,0 - 3,0 - 5,3.92,3.62,1.51,4.1,2.26,1.98,1.38,2.14,1.55,0.0,0.0,1.45,2.0,4.55,0.0,2.21,1.35,1.44,2.02,5.0,1.95,2.76,7.26
2024-10-20 00:00:00,14:30:00,ÇİN2,3,Nanjing City,Guangxi Baoyun,3 - 0,4 - 1,2.33,2.7,2.34,3.0,1.78,3.03,1.64,1.62,1.14,1.09,1.15,0.0,0.0,2.56,1.2,1.43,1.9,1.07,3.41,2.68,1.77,4.38,22.3
2024-10-20 00:00:00,14:00:00,NOR4,3,Sarpsborg 08 I,Mjöndalen Ii,3 - 0,8 - 1,1.06,8.63,14.75,1.23,3.25,9.77,1.57,1.7,0.0,0.0,2.57,1.83,1.47,0.0,0.0,3.43,1.07,2.11,1.33,11.25,2.69,2.3,3.15
2024-10-20 00:00:00,16:00:00,İTC,3,Trapani 1905,Audace Cerignol,3 - 0,5 - 1,1.77,2.93,3.13,2.41,1.83,3.8,1.65,1.61,1.05,1.06,1.31,0.0,0.0,2.66,1.18,1.48,1.82,1.09,3.24,2.8,1.77,4.17,20.2
2024-10-21 00:00:00,19:00:00,AŞMP,2,Al Ain,Al Hilal (Riyad,1 - 3,4 - 5,5.16,4.48,1.24,4.81,2.48,1.63,1.31,2.17,1.79,0.0,0.0,1.57,1.7,5.8,0.0,2.73,1.17,1.65,1.61,7.05,2.2,2.46,4.79
2024-10-21 00:00:00,21:00:00,HOL2,3,Psv (B),Excelsior,0 - 3,1 - 3,3.96,3.95,1.39,3.99,2.38,1.8,1.25,2.36,1.58,0.0,0.0,1.56,1.71,5.67,0.0,2.66,1.18,1.63,1.63,6.83,2.17,2.48,4.96
2024-10-21 00:00:00,21:00:00,ROM,3,Rapid Bükreş,Ssc Farul,3 - 0,5 - 0,1.63,2.98,3.62,2.16,1.94,4.05,1.56,1.72,1.05,1.06,1.38,1.23,2.43,3.06,1.12,1.62,1.65,1.16,2.76,3.27,1.78,3.61,14.6
2024-10-22 00:00:00,21:45:00,İCON,3,Needham Market,Brackley Town,1 - 3,1 - 3,3.45,3.04,1.65,4.18,1.81,2.31,1.75,1.53,1.38,1.05,0.0,0.0,0.0,2.54,1.2,1.44,1.89,1.07,3.43,2.66,1.77,4.41,22.7
2024-10-22 00:00:00,21:45:00,İN1,2,Peterborough,Blackpool,3 - 1,5 - 1,2.13,3.23,2.25,2.6,2.12,2.71,1.27,2.27,1.17,1.05,1.19,1.4,1.95,4.41,0.0,2.14,1.32,1.39,1.96,4.99,1.95,2.76,7.28
2024-10-23 00:00:00,21:45:00,UEGL,3,Aberdeen U19,Felcsút U19,1 - 3,1 - 5,2.15,3.33,2.17,2.6,2.17,2.63,1.24,2.38,1.18,0.0,1.19,1.44,1.89,4.74,0.0,2.27,1.27,1.45,1.86,5.45,2.0,2.67,6.49
2024-10-23 00:00:00,20:00:00,UEGL,3,Auxerre U19,Valletta U19,3 - 0,5 - 0,0.0,17.3,17.3,0.0,5.28,24.65,0.0,0.0,0.0,0.0,2.86,2.54,1.2,0.0,0.0,7.07,0.0,3.67,1.05,30.0,4.6,2.5,1.78
2024-10-23 00:00:00,22:00:00,ŞMP,1,Barcelona,B.Münih,3 - 1,4 - 1,2.29,3.36,2.19,2.65,2.36,2.56,1.19,2.83,1.23,1.07,1.2,1.6,1.76,5.93,0.0,2.72,1.21,1.69,1.66,6.99,2.19,2.46,4.86
2024-10-23 00:00:00,20:00:00,UEGL,3,Basel (U19),Sabah U19,3 - 0,6 - 0,0.0,9.34,17.0,1.2,3.35,10.85,1.64,1.62,0.0,0.0,2.63,1.85,1.46,7.48,0.0,3.86,1.05,2.14,1.31,11.55,2.73,2.3,3.09
2024-10-23 00:00:00,17:30:00,AVL,1,Galatasaray,Elfsborg,3 - 0,4 - 3,1.08,6.25,10.0,1.42,2.84,7.45,1.54,1.85,0.0,0.0,2.29,1.67,1.68,6.41,0.0,3.01,1.17,1.79,1.58,7.74,2.28,2.41,4.36
2024-10-24 00:00:00,19:45:00,AVKL,1,Celje,Başakşehir Fk,3 - 0,5 - 1,2.78,2.99,2.01,3.32,1.99,2.58,1.5,1.91,1.28,1.09,1.12,1.29,2.42,3.34,1.12,1.74,1.63,1.23,2.67,3.48,1.8,3.42,12.9
2024-10-24 00:00:00,19:00:00,RUK,2,Krylya Sovieto,Dinamo Moskova,2 - 3,3 - 6,2.41,3.22,2.14,2.95,2.08,2.69,1.4,2.1,1.24,1.08,1.17,1.35,2.21,3.85,1.08,1.94,1.48,1.32,2.32,4.11,1.85,3.06,9.69
